task_id,trial,variant,accepted,exit_reason,elapsed_ms,tool_calls,model_cost_usd
empty,0,baseline,True,completed,0.05881700053578243,1,
empty,0,candidate,True,completed,0.055721997341606766,1,
empty,1,baseline,True,completed,0.05623299875878729,1,
empty,1,candidate,True,completed,0.09126399891101755,1,
empty,2,baseline,True,completed,0.05487100133905187,1,
empty,2,candidate,True,completed,0.059057001635665074,1,
invalid,0,baseline,False,exception,0.07732399899396114,1,
invalid,0,candidate,False,exception,0.10286099859513342,1,
invalid,1,baseline,False,exception,0.028332000510999933,1,
invalid,1,candidate,False,exception,0.028261998522793874,1,
invalid,2,baseline,False,exception,0.02793100065900944,1,
invalid,2,candidate,False,exception,0.025837998691713437,1,
negative,0,baseline,True,completed,0.06327300070552155,1,
negative,0,candidate,True,completed,0.06258199937292375,1,
negative,1,baseline,True,completed,0.059576999774435535,1,
negative,1,candidate,True,completed,0.06407399996533059,1,
negative,2,baseline,True,completed,0.0659769975754898,1,
negative,2,candidate,True,completed,0.061781000113114715,1,
plain,0,baseline,True,completed,0.18768699737847783,1,
plain,0,candidate,True,completed,0.07913700028439052,1,
plain,1,baseline,True,completed,0.09308700100518763,1,
plain,1,candidate,True,completed,0.06786899757571518,1,
plain,2,baseline,True,completed,0.07302700032596476,1,
plain,2,candidate,True,completed,0.06565700095961802,1,
uppercase,0,baseline,False,completed,0.06015799954184331,1,
uppercase,0,candidate,True,completed,0.0679400000080932,1,
uppercase,1,baseline,False,completed,0.06638700142502785,1,
uppercase,1,candidate,True,completed,0.06114999996498227,1,
uppercase,2,baseline,False,completed,0.05794500248157419,1,
uppercase,2,candidate,True,completed,0.05874699854757637,1,
whitespace,0,baseline,False,completed,0.06824100273661315,1,
whitespace,0,candidate,True,completed,0.06776000009267591,1,
whitespace,1,baseline,False,completed,0.057523997384123504,1,
whitespace,1,candidate,True,completed,0.06644799941568635,1,
whitespace,2,baseline,False,completed,0.058556001022225246,1,
whitespace,2,candidate,True,completed,0.06822000068495981,1,
