task_id,trial,variant,accepted,exit_reason,elapsed_ms,tool_calls,model_cost_usd
empty,0,baseline,True,completed,0.11608000204432756,1,
empty,0,candidate,True,completed,0.12407900067046285,1,
empty,1,baseline,True,completed,0.11617300333455205,1,
empty,1,candidate,True,completed,0.1820780016714707,1,
empty,2,baseline,True,completed,0.13526999828172848,1,
empty,2,candidate,True,completed,0.11610500223468989,1,
invalid,0,baseline,False,exception,0.12662999506574124,1,
invalid,0,candidate,False,exception,0.06027200288372114,1,
invalid,1,baseline,False,exception,0.06495100387837738,1,
invalid,1,candidate,False,exception,0.0720329990144819,1,
invalid,2,baseline,False,exception,0.05639500159304589,1,
invalid,2,candidate,False,exception,0.05624600453302264,1,
negative,0,baseline,True,completed,0.14114700024947524,1,
negative,0,candidate,True,completed,0.21754999761469662,1,
negative,1,baseline,True,completed,0.1384979987051338,1,
negative,1,candidate,True,completed,0.13512300211004913,1,
negative,2,baseline,True,completed,0.13904200022807345,1,
negative,2,candidate,True,completed,0.13685199519386515,1,
plain,0,baseline,True,completed,0.5862890029675327,1,
plain,0,candidate,True,completed,0.163238997629378,1,
plain,1,baseline,True,completed,0.13819699961459264,1,
plain,1,candidate,True,completed,0.14845299301669002,1,
plain,2,baseline,True,completed,0.1749580042087473,1,
plain,2,candidate,True,completed,0.14222499885363504,1,
uppercase,0,baseline,False,completed,0.1648699981160462,1,
uppercase,0,candidate,True,completed,0.20734899590024725,1,
uppercase,1,baseline,False,completed,0.11956500384258106,1,
uppercase,1,candidate,True,completed,0.13700200361199677,1,
uppercase,2,baseline,False,completed,0.12180500198155642,1,
uppercase,2,candidate,True,completed,0.13763199967797846,1,
whitespace,0,baseline,False,completed,0.14361099601956084,1,
whitespace,0,candidate,True,completed,0.1700349966995418,1,
whitespace,1,baseline,False,completed,0.1886509999167174,1,
whitespace,1,candidate,True,completed,0.12900200090371072,1,
whitespace,2,baseline,False,completed,0.19348399655427784,1,
whitespace,2,candidate,True,completed,0.18349899619352072,1,
